"id","killer","killer side","victim","victim side","method","weapon","body parts","ian johnson line","fagles line","tumblr id","notes"
156,"Telamonian Ajax","A","Archelochus","T"," spear in the neck",,,14.54,,,
157,"Acamas","T","Promachus","A"," spear",,,14.555,,,
158,"Peneleus","A","Ilioneus","T"," spear in the eye",,,14.57,,,
159,"Telamonian Ajax","A","Hyrtius","T",,,,14.597,,,
160,"Meriones","A","Morys","T",,,,14.601,,,
161,"Meriones","A","Hippotion","T",,,,14.601,,,
162,"Teucer","A","Protho̦n","T",,,,14.602,,,
163,"Teucer","A","Periphetes","T",,,,14.602,,,
164,"Menelaus","A","Hyperenor","T"," spear through the side",,,14.603,,,
165,"Antilochus","A","Phalces","T",,,,14.6,,,
166,"Antilochus","A","Mermerus","T",,,,14.6,,,
167,"Hector","T","Stichius","A",,,,15.389,,,
168,"Hector","T","Arcesilaus","A",,,,15.389,,,
169,"Aeneas","T","Medon","A",,,,15.392,,,
170,"Aeneas","T","Iasus","A",,,,15.392,,,
171,"Polydamas","T","Mecisteus","A",,,,15.399,,,
172,"Polites","T","Echius","A",,,,15.4,,,
173,"Agenor","T","Clonius","A",,,,15.401,,,
174,"Paris","T","De��ochus","A"," spear through the back",,,15.402,,,
175,"Telamonian Ajax","A","Caletor","T"," spear in the chest",,,15.491,,,
176,"Hector","T","Lycophron","A"," spear in the head",,,15.503,,,
177,"Teucer","A","Cleitus","A"," arrow in the back of the neck",,,15.521,,,
178,"Hector","T","Schedius","A",,,,15.607,,,
179,"Telamonian Ajax","A","Laodamas","T",,,,15.608,,,
180,"Polydamas","T","Otus","A",,,,15.61,,,
